0,2022-02-23 09:30:18,166.15,-0.36 (+0.0)%,"13,022",383.44,+5.28 (+0.01)%,"2,670,653",105.33,-5.04 (-0.05)%,"2,670,653",291.55,+1.12 (+0.0)%,"2,670,653",33.275,-1.45 (+0.04)%,"2,670,653",205.04,-5.58 (-0.03)%,"2,670,653",3035.26,-2.36 (+0.0)%,"2,670,653"
0,2022-02-23 09:30:31,165.54,+0.91 (+0.01)%,"951,308",381.9,-3.76 (+0.01)%,"2,670,653",104.66,-1.89 (+0.02)%,"2,670,653",290.18,+2.12 (-0.01)%,"2,670,653",33.16,+4.27 (+0.13)%,"2,670,653",205.04,+0.72 (+0.0)%,"2,670,653",3028.12,+2.87 (+0.0)%,"2,670,653"
0,2022-02-23 09:30:44,165.54,+5.49 (+0.03)%,"1,563,018",382.9771,+0.56 (+0.0)%,"2,670,653",105.24,+3.39 (+0.03)%,"2,670,653",291,+1.62 (-0.01)%,"2,670,653",33.27,+0.15 (+0.0)%,"2,670,653",205.04,-4.09 (-0.02)%,"2,670,653",3033.27,+1.1 (+0.0)%,"2,670,653"
0,2022-02-23 09:31:06,165.92,+1.26 (+0.01)%,"2,670,653",382.72,+4.98 (+0.01)%,"2,670,653",105.02,+0.29 (+0.0)%,"2,670,653",291,-3.14 (+0.01)%,"2,670,653",33.25,+0.18 (+0.01)%,"2,670,653",205.04,+5.39 (+0.03)%,"2,670,653",3033.01,-0.5 (+0.0)%,"2,670,653"
0,2022-02-23 09:31:02,166.07,-2.41 (+0.01)%,"13,458",383.4829,-4.33 (-0.01)%,"454,634",105.42,+2.21 (+0.02)%,"454,634",291.7,-5.41 (-0.02)%,"454,634",33.24,-4.85 (-0.15)%,"454,634",205.74,+1.66 (-0.01)%,"454,634",3034.8,-2.05 (+0.0)%,"454,634"
0,2022-02-23 09:31:18,165.67,-1.84 (+0.01)%,"208,237",382.4,+2.61 (-0.01)%,"454,634",104.78,-2.06 (+0.02)%,"454,634",290.96,-0.75 (+0.0)%,"454,634",33.215,-3.16 (-0.1)%,"454,634",204.81,+3.37 (-0.02)%,"454,634",3021.07,-4.09 (+0.0)%,"454,634"
0,2022-02-23 09:31:34,165.94,+0.24 (+0.0)%,"196,252",382.6,+5.34 (+0.01)%,"454,634",104.86,+3.76 (-0.04)%,"454,634",291.12,+2.12 (+0.01)%,"454,634",33.23,-2.51 (-0.08)%,"454,634",205.55,-3.5 (+0.02)%,"454,634",3024.28,+3.55 (+0.0)%,"454,634"
0,2022-02-23 09:31:55,165.67,-4.36 (-0.03)%,"454,634",382.98,-1.58 (+0.0)%,"454,634",105.2718,-3.26 (-0.03)%,"454,634",291,-1.44 (+0.0)%,"454,634",33.23,+5.98 (+0.18)%,"454,634",205.01,+4.98 (+0.02)%,"454,634",3029.91,-5.88 (+0.0)%,"454,634"
0,2022-02-23 09:32:16,165.75,-3.81 (-0.02)%,"65,611",382.96,+2.55 (+0.01)%,"350,656",104.95,+3.13 (+0.03)%,"350,656",291.45,+2.96 (-0.01)%,"350,656",33.19,-1.08 (+0.03)%,"350,656",206.2699,-4.23 (-0.02)%,"350,656",3024.65,-3.12 (+0.0)%,"350,656"
0,2022-02-23 09:32:28,165.46,+6.11 (+0.04)%,"155,063",381.8984,-5.86 (-0.02)%,"350,656",104.57,+2.23 (+0.02)%,"350,656",290.79,+2.81 (+0.01)%,"350,656",33.15,+1.36 (+0.04)%,"350,656",205.05,-0.36 (+0.0)%,"350,656",3020,+2.61 (+0.0)%,"350,656"
